Group,Subgroup,Code,Desc,Category
A00,1,A001,"Cholera due to Vibrio cholerae 01, biovar eltor",Cholera
A00,9,A009,"Cholera, unspecified",Cholera
A01,00,A0100,"Typhoid fever, unspecified",Typhoid fever
A01,01,A0101,Typhoid meningitis,Typhoid fever
A01,02,A0102,Typhoid fever with heart involvement,Typhoid fever
A01,03,A0103,Typhoid pneumonia,Typhoid fever
A01,04,A0104,Typhoid arthritis,Typhoid fever
A01,05,A0105,Typhoid osteomyelitis,Typhoid fever
A01,09,A0109,Typhoid fever with other complications,Typhoid fever
A01,1,A011,Paratyphoid fever A,Paratyphoid fever A
A01,2,A012,Paratyphoid fever B,Paratyphoid fever B
A01,3,A013,Paratyphoid fever C,Paratyphoid fever C
A01,4,A014,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified"
A02,0,A020,Salmonella enteritis,Other salmonella infections
A02,1,A021,Salmonella sepsis,Other salmonella infections
A02,20,A0220,"Localized salmonella infection, unspecified",Localized salmonella infections
A02,21,A0221,Salmonella meningitis,Localized salmonella infections
A02,22,A0222,Salmonella pneumonia,Localized salmonella infections
A02,23,A0223,Salmonella arthritis,Localized salmonella infections
A02,24,A0224,Salmonella osteomyelitis,Localized salmonella infections
A02,25,A0225,Salmonella pyelonephritis,Localized salmonella infections
A02,29,A0229,Salmonella with other localized infection,Localized salmonella infections
A02,8,A028,Other specified salmonella infections,Other specified salmonella infections
A02,9,A029,"Salmonella infection, unspecified","Salmonella infection, unspecified"
A03,0,A030,Shigellosis due to Shigella dysenteriae,Shigellosis
A03,1,A031,Shigellosis due to Shigella flexneri,Shigellosis
A03,2,A032,Shigellosis due to Shigella boydii,Shigellosis
A03,3,A033,Shigellosis due to Shigella sonnei,Shigellosis
A03,8,A038,Other shigellosis,Shigellosis
A03,9,A039,"Shigellosis, unspecified",Shigellosis
A04,0,A040,Enteropathogenic Escherichia coli infection,Other bacterial intestinal infections
A04,1,A041,Enterotoxigenic Escherichia coli infection,Other bacterial intestinal infections
A04,2,A042,Enteroinvasive Escherichia coli infection,Other bacterial intestinal infections
A04,3,A043,Enterohemorrhagic Escherichia coli infection,Other bacterial intestinal infections
A04,4,A044,Other intestinal Escherichia coli infections,Other bacterial intestinal infections
A04,5,A045,Campylobacter enteritis,Other bacterial intestinal infections
A04,6,A046,Enteritis due to Yersinia enterocolitica,Other bacterial intestinal infections
A04,71,A0471,"Enterocolitis due to Clostridium difficile, recurrent",Enterocolitis due to Clostridium difficile
A04,72,A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",Enterocolitis due to Clostridium difficile
A04,8,A048,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections
A04,9,A049,"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified"
A05,0,A050,Foodborne staphylococcal intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,1,A051,Botulism food poisoning,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,2,A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,3,A053,Foodborne Vibrio parahaemolyticus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,4,A054,Foodborne Bacillus cereus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,5,A055,Foodborne Vibrio vulnificus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,8,A058,Other specified bacterial foodborne intoxications,"Other bacterial foodborne intoxications, not elsewhere classified"
A05,9,A059,"Bacterial foodborne intoxication, unspecified","Other bacterial foodborne intoxications, not elsewhere classified"
A06,0,A060,Acute amebic dysentery,Amebiasis
A06,1,A061,Chronic intestinal amebiasis,Amebiasis
A06,2,A062,Amebic nondysenteric colitis,Amebiasis
A06,3,A063,Ameboma of intestine,Amebiasis
A06,4,A064,Amebic liver abscess,Amebiasis
A06,5,A065,Amebic lung abscess,Amebiasis
A06,6,A066,Amebic brain abscess,Amebiasis
A06,7,A067,Cutaneous amebiasis,Amebiasis
A06,81,A0681,Amebic cystitis,Amebic infection of other sites
A06,82,A0682,Other amebic genitourinary infections,Amebic infection of other sites
A06,89,A0689,Other amebic infections,Amebic infection of other sites
A06,9,A069,"Amebiasis, unspecified","Amebiasis, unspecified"
A07,0,A070,Balantidiasis,Other protozoal intestinal diseases
A07,1,A071,Giardiasis [lambliasis],Other protozoal intestinal diseases
A07,2,A072,Cryptosporidiosis,Other protozoal intestinal diseases
A07,3,A073,Isosporiasis,Other protozoal intestinal diseases
A07,4,A074,Cyclosporiasis,Other protozoal intestinal diseases
A07,8,A078,Other specified protozoal intestinal diseases,Other protozoal intestinal diseases
A07,9,A079,"Protozoal intestinal disease, unspecified",Other protozoal intestinal diseases
A08,0,A080,Rotaviral enteritis,Viral and other specified intestinal infections
A08,11,A0811,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent and other small round viruses
A08,19,A0819,Acute gastroenteropathy due to other small round viruses,Acute gastroenteropathy due to Norwalk agent and other small round viruses
A08,2,A082,Adenoviral enteritis,Adenoviral enteritis
A08,31,A0831,Calicivirus enteritis,Other viral enteritis
A08,32,A0832,Astrovirus enteritis,Other viral enteritis
A08,39,A0839,Other viral enteritis,Other viral enteritis
A08,4,A084,"Viral intestinal infection, unspecified","Viral intestinal infection, unspecified"
A08,8,A088,Other specified intestinal infections,Other specified intestinal infections
A09,,A09,"Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified"
A15,0,A150,Tuberculosis of lung,Respiratory tuberculosis
A15,4,A154,Tuberculosis of intrathoracic lymph nodes,Respiratory tuberculosis
A15,5,A155,"Tuberculosis of larynx, trachea and bronchus",Respiratory tuberculosis
A15,6,A156,Tuberculous pleurisy,Respiratory tuberculosis
A15,7,A157,Primary respiratory tuberculosis,Respiratory tuberculosis
A15,8,A158,Other respiratory tuberculosis,Respiratory tuberculosis
A15,9,A159,Respiratory tuberculosis unspecified,Respiratory tuberculosis
A17,0,A170,Tuberculous meningitis,Tuberculosis of nervous system
A17,1,A171,Meningeal tuberculoma,Tuberculosis of nervous system
A17,81,A1781,Tuberculoma of brain and spinal cord,Other tuberculosis of nervous system
A17,82,A1782,Tuberculous meningoencephalitis,Other tuberculosis of nervous system
A17,83,A1783,Tuberculous neuritis,Other tuberculosis of nervous system
A17,89,A1789,Other tuberculosis of nervous system,Other tuberculosis of nervous system
A17,9,A179,"Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified"
A18,01,A1801,Tuberculosis of spine,Tuberculosis of bones and joints
A18,02,A1802,Tuberculous arthritis of other joints,Tuberculosis of bones and joints
A18,03,A1803,Tuberculosis of other bones,Tuberculosis of bones and joints
A18,09,A1809,Other musculoskeletal tuberculosis,Tuberculosis of bones and joints
A18,10,A1810,"Tuberculosis of genitourinary system, unspecified",Tuberculosis of genitourinary system
